date,eur_usd
2021-01-01,1.21200
2021-02-01,1.21604
2021-03-01,1.17236
2021-04-01,1.21271
2021-05-01,1.21901
2021-06-01,1.19019
2021-07-01,1.18930
2021-08-01,1.17969
2021-09-01,1.16016
2021-10-01,1.16836
2021-11-01,1.12934
2021-12-01,1.13250
2022-01-01,1.11524
2022-02-01,1.11811
2022-03-01,1.11618
2022-04-01,1.05042
2022-05-01,1.077354
2022-06-01,1.044659
2022-07-01,1.019233
2022-08-01,1.0025063
2022-09-01,0.98295557
2022-10-01,0.99550027
2022-11-01,1.032450
2022-12-01,1.066075
2023-01-01,1.085069
2023-02-01,1.061121
2023-03-01,1.090465
2023-04-01,1.10320
2023-05-01,1.073307
2023-06-01,1.086803
2023-07-01,1.10243
2023-08-01,1.093255
2023-09-01,1.056245
2023-10-01,1.061504
2023-11-01,1.097370
2023-12-01,1.10682
2024-01-01,1.084340
2024-02-01,1.083882
2024-03-01,1.079447
2024-04-01,1.071570
2024-05-01,1.083541
2024-06-01,1.070847
2024-07-01,1.081607
2024-08-01,1.10805
2024-09-01,1.11698
2024-10-01,1.085918
2024-11-01,1.056301
2024-12-01,1.040615
2025-01-01,1.039728
2025-02-01,1.039512
2025-03-01,1.082392
2025-04-01,1.13893
2025-05-01,1.13784
2025-06-01,1.17275
2025-07-01,1.14149
2025-08-01,1.1683
2025-09-01,1.1733
2025-10-01,1.15248
2025-11-01,1.15993
2025-12-01,1.17462
2026-01-01,1.18539
2026-02-01,1.18163
2026-03-01,1.15593
2026-04-01,1.17323
2026-05-01,1.16593
2026-06-01,1.14218
2026-07-01,1.15304
2026-08-01,1.16174
