,evolving_skies_bb,lost_origin_bb,fusion_strike_bb,brilliant_stars_bb,chilling_reign_bb,silver_tempest_bb,astral_radiance_bb,battle_styles_bb,vivid_voltage_bb,darkness_ablaze_bb,rebel_clash_bb,paldea_evolved_bb,twilight_masquerade_bb,team_up_bb,cosmic_eclipse_bb,unbroken_bonds_bb,unified_minds_bb,ultra_prism_bb,crimson_invasion_bb,crown_zenith_etb,celebrations_etb,shining_fates_etb,hidden_fates_etb,scarlet_violet_151_etb,scarlet_violet_151_bundle,umbreon_vmax_215,rayquaza_vmax_218,giratina_v_186,gengar_vmax_271,charizard_v_154,roaring_skies_bb,evolutions_bb,flashfire_bb,ancient_origins_bb,burning_shadows_bb,lost_thunder_bb,obsidian_flames_bb,paradox_rift_bb,temporal_forces_bb,jp_vstar_universe_bb,jp_vmax_climax_bb,jp_shiny_star_v_bb,jp_tag_all_stars_bb,jp_shiny_treasure_bb,op01_romance_dawn_bb,op02_paramount_war_bb,op03_pillars_strength_bb,op05_new_era_bb,op06_wings_captain_bb,magikarp_203,greninja_ex_214,latias_latios_170,charizard_gx_sv49,stellar_crown_bb,surging_sparks_bb,lugia_v_186,blaziken_vmax_201,charizard_ex_199,pikachu_ex_238,galarian_moltres_v_177,charmander_4,latias_ex_239,aerodactyl_v_180,milotic_ex_237,bulbasaur_1,snorlax_224,celebi_v_245,zapdos_ex_202,venusaur_ex_198,blastoise_ex_200,zeraora_v_166,shadow_rider_calyrex_vmax_205,groudon_199,charizard_ex_223,galarian_articuno_v_170,ice_rider_calyrex_vmax_203,raging_bolt_ex_208,eevee_188,squirtle_148,perrin_220,tornadus_v_185,galarian_zapdos_v_174,arceus_v_166,galarian_rapidash_v_168,pikachu_ex_247,alakazam_ex_201,charmander_168,galarian_slowking_v_179,bulbasaur_143,pikachu_173,squirtle_170,tyranitar_222,umbreon_130,iron_crown_ex_206,charizard_vstar_174,carmine_217,walking_wake_ex_205,terapagos_ex_170,teal_mask_ogerpon_24,bulbasaur_166,hydreigon_ex_240,raging_bolt_111,mortys_conviction_211,gastly_177
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,,,,,,,,84.08,145.31,,,,,,,,,,,,,43.07,,,,,,,,,,,2543.05,,,,,,,,,,,,,,,,,,,,406.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,,,,,90.23,,,86.12,142.83,148.72,132.33,,,85.07,7.73,275.26,253.32,279.38,128.36,,,50.77,,,,,,,,,272.81,501.0,2730.66,86.12,294.07,312.98,,,,,,,,,,,,,,,,,329.78,,,,106.73,,,94.01,,,,,,96.72,,,,,53.97,94.9,,,53.35,43.49,,,,,27.73,62.91,,31.09,,,,30.25,,,,,,,,,,,,,,,,
2021-07-01,,,,,105.1,,,84.33,107.21,148.2,132.43,,,85.13,7.74,297.61,249.31,264.86,126.12,,,46.67,24.17,,,,,,,,288.4,622.21,2669.64,86.19,279.71,317.41,,,,,,,,,,,,,,,,,311.11,,,,121.08,,,99.54,,,,,,96.13,,,,,47.93,83.7,,,44.56,39.26,,,,,25.8,60.12,,27.31,,,,32.77,,,,,,,,,,,,,,,,
2021-08-01,,,,,102.78,,,87.1,113.02,135.03,124.02,,,85.83,7.8,287.09,256.85,267.02,121.64,,,47.05,58.62,,,,,,,,315.31,606.09,2691.39,86.89,283.97,303.95,,,,,,,,,,,,,,,,,313.64,,,,122.2,,,97.64,,,,,,87.1,,,,,45.97,81.59,,,48.75,44.5,,,,,24.16,58.14,,29.67,,,,26.15,,,,,,,,,,,,,,,,
2021-09-01,,,,,109.9,,,99.32,128.28,148.69,126.1,,,87.27,12.5,295.49,267.2,271.51,133.44,,,45.68,124.98,,,190.06,217.87,,,,337.02,600.78,2458.99,88.35,263.95,312.59,,,,,,,,,,,,,,,,,297.44,,,,99.51,,,85.91,,,,,,101.25,,,,,46.8,67.23,,,43.53,41.37,,,,,22.16,49.13,,28.15,,,,25.41,,,,,,,,,,,,,,,,
2021-10-01,,,,,110.63,,,103.14,136.73,148.5,125.22,,,86.66,12.41,280.74,259.18,273.27,122.85,,,49.21,127.32,,,167.33,195.15,,,,312.4,572.12,2441.73,87.73,242.22,329.4,,,,,,,,,,,,,,,,,281.1,,,,106.92,,,77.03,,,,,,93.66,,,,,43.51,64.62,,,38.2,31.67,,,,,19.26,43.7,,27.39,,,,23.62,,,,,,,,,,,,,,,,
2021-11-01,,,22.14,,94.08,,,82.79,112.98,144.33,129.54,,,602.07,404.5,290.59,248.71,282.71,127.09,,,48.57,190.49,,,167.13,163.59,,113.52,,314.79,551.73,2288.45,375.06,280.94,346.01,,,,,,,,,,,,,,,,,304.49,,,,90.85,,,76.16,,,,,,69.47,32.11,,,,42.27,54.01,,,34.4,35.42,,,,,18.01,39.34,,25.23,,,,19.75,,,,,,,,,,,,,,,,
