,umbreon_vmax_215,rayquaza_vmax_218,giratina_v_186,gengar_vmax_271,charizard_v_154,magikarp_203,greninja_ex_214,latias_latios_170,charizard_gx_sv49
2021-02-01,,,,,,,,,507.88
2021-03-01,,,,,,,,,563.91
2021-04-01,,,,,,,,,472.08
2021-05-01,,,,,,,,,431.05
2021-06-01,,,,,,,,,415.9
2021-07-01,,,,,,,,,348.94
2021-08-01,,,,,,,,,356.39
2021-09-01,262.89,538.72,,,,,,,355.17
2021-10-01,240.35,303.69,,,,,,,321.57
2021-11-01,232.44,292.21,,167.78,,,,,313.31
2021-12-01,231.79,259.81,,184.3,,,,,326.71
2022-01-01,252.41,286.36,,188.26,,,,,348.58
2022-02-01,268.31,217.78,,186.67,311.91,,,,380.11
2022-03-01,282.2,242.68,,295.65,255.34,,,335.95,333.56
2022-04-01,373.66,285.41,,175.73,284.39,,,352.24,382.53
2022-05-01,367.57,248.99,,159.72,245.97,,,343.43,352.72
2022-06-01,342.47,239.31,,151.52,210.23,,,354.18,335.04
2022-07-01,343.4,245.28,,142.26,188.38,,,363.02,345.85
2022-08-01,355.11,242.83,,145.0,192.79,,,369.07,347.42
2022-09-01,432.37,282.86,338.39,171.68,198.38,,,376.42,407.96
2022-10-01,553.3,291.19,314.41,181.55,205.93,,,455.8,332.79
2022-11-01,524.51,274.06,297.84,175.81,171.83,,,440.69,322.05
2022-12-01,511.68,262.65,268.72,169.62,183.37,,,426.8,305.45
2023-01-01,467.72,260.35,275.28,171.63,169.43,,,466.13,306.43
2023-02-01,533.12,240.37,294.5,179.05,168.76,,,525.13,330.02
2023-03-01,521.8,268.06,282.85,176.04,154.06,,,664.85,326.01
2023-04-01,577.6,255.18,304.99,183.56,153.42,,,702.5,302.12
2023-05-01,590.96,250.98,321.73,188.74,146.0,,,899.09,312.33
2023-06-01,538.74,264.54,296.91,197.56,138.25,86.15,,793.52,333.06
2023-07-01,606.61,239.47,290.27,190.48,134.93,68.61,,898.49,300.27
2023-08-01,527.78,243.84,289.96,187.51,129.89,91.46,,835.15,301.85
2023-09-01,517.51,234.56,277.4,187.46,135.39,69.74,,699.58,295.86
2023-10-01,480.45,212.07,263.86,173.51,126.24,70.65,,743.43,286.35
2023-11-01,477.14,200.48,248.94,171.7,109.35,68.35,,751.8,274.37
2023-12-01,469.81,202.9,211.64,180.69,98.05,68.67,,798.26,273.92
2024-01-01,545.62,226.32,225.01,189.06,103.24,77.26,,750.84,315.69
2024-02-01,510.51,226.42,230.65,193.89,113.02,74.27,,750.31,291.88
2024-03-01,559.06,252.06,253.63,223.33,108.84,74.11,,755.46,294.24
2024-04-01,681.11,302.02,347.01,328.9,129.2,120.97,,800.04,312.63
2024-05-01,853.68,372.94,388.08,350.7,157.9,133.82,,872.14,302.25
2024-06-01,784.43,384.34,366.35,314.18,151.49,141.01,183.97,977.69,298.36
2024-07-01,736.17,346.71,354.1,301.8,122.55,124.9,242.69,879.72,317.57
2024-08-01,683.07,284.99,308.18,279.76,118.47,112.81,239.16,925.05,301.54
2024-09-01,735.02,312.44,295.44,268.52,113.03,111.91,244.65,1002.7,308.87
2024-10-01,846.55,331.52,290.54,285.47,118.56,127.9,263.69,1050.09,300.7
2024-11-01,1006.71,382.05,352.82,357.38,126.86,145.66,289.94,1136.04,340.81
2024-12-01,1156.02,441.82,418.02,427.72,155.68,214.06,299.94,1320.21,378.61
2025-01-01,1451.48,484.74,558.72,577.05,176.13,259.42,328.78,1321.27,406.51
2025-02-01,1508.03,596.46,583.02,644.53,194.5,260.7,335.01,1447.59,432.9
2025-03-01,1337.78,577.84,586.56,575.35,187.09,230.97,309.5,1745.4,408.82
2025-04-01,1219.69,543.66,526.81,532.74,166.6,190.49,276.6,1652.49,424.09
2025-05-01,1318.28,565.98,509.74,527.31,169.3,187.34,257.05,1933.49,405.59
2025-06-01,1278.62,526.99,488.79,530.8,155.62,213.17,245.6,2115.62,401.48
2025-07-01,1252.28,550.67,478.1,584.03,175.2,247.05,239.69,2474.71,438.02
2025-08-01,1283.8,599.16,528.56,599.16,200.0,281.97,249.76,2695.63,432.46
2025-09-01,1474.86,614.05,588.08,648.6,276.58,309.62,304.84,2852.6,512.85
2025-10-01,1605.23,668.12,613.79,757.37,269.42,326.9,291.98,2870.32,477.23
2025-11-01,1638.03,610.65,563.89,681.08,222.21,269.41,279.33,2671.64,426.75
2025-12-01,1389.04,570.51,512.22,578.91,229.01,253.27,238.61,2501.25,392.47
2026-01-01,1552.94,607.39,548.34,662.22,222.7,273.33,243.48,2699.96,438.67
2026-02-01,1688.08,634.71,571.24,648.98,235.26,296.2,234.85,2835.07,476.46
2026-03-01,1708.58,683.43,625.87,719.14,247.81,354.33,259.96,3258.42,497.43
2026-04-01,1832.12,876.04,669.09,786.59,280.17,398.05,311.1,3238.92,520.78
2026-05-01,1967.93,1015.66,714.59,833.67,290.76,427.41,300.19,3816.7,543.33
2026-06-01,2027.69,1079.44,818.21,861.07,306.43,483.72,307.31,4224.38,577.4
2026-07-01,1821.27,1054.82,824.78,810.64,288.19,457.49,277.53,4509.82,579.49
2026-08-01,1823.56,1039.76,780.45,804.83,251.35,421.78,261.45,4561.37,519.91
2026-09-01,1806.0,962.77,800.52,774.7,263.34,398.0,253.43,4454.53,529.39
